"Year","Technology","Latency"
"2016","2G",225.370008201162
"2017","2G",220.94622871343
"2018","2G",232.57505445662
"2019","2G",354.400030075417
"2016","3G",110.750729351061
"2017","3G",92.2916623478437
"2018","3G",110.74999431388
"2019","3G",88.5999939653356
"2016","4G",58.6250393759655
"2017","4G",63.314995174138
"2018","4G",58.6250135366056
"2019","4G",55.6937441682971
"2016","5G",0
"2017","5G",0
"2018","5G",20.0333579043185
"2019","5G",17.5000073639993
